id,text,context
item_1,"I absolutely love this product! It exceeded all my expectations and I would highly recommend it to everyone.",product review
item_2,"The service was terrible. I waited over an hour and the staff were rude and unhelpful.",restaurant review
item_3,"The weather today is partly cloudy with temperatures around 65 degrees Fahrenheit.",weather report
item_4,"This movie was a complete waste of time. The plot made no sense and the acting was wooden.",movie review
item_5,"Had an amazing experience at this hotel! The rooms were spotless and the staff went above and beyond.",hotel review
item_6,"The meeting has been rescheduled to 3pm on Tuesday in Conference Room B.",office communication
item_7,"I'm so frustrated with this company. They charged me twice and their customer service is impossible to reach.",customer complaint
item_8,"What a wonderful surprise party! Everyone came together to make it truly special. So grateful for my friends!",social media post
item_9,"The quarterly earnings report shows revenue of $2.3 million, which is consistent with projections.",financial report
item_10,"This restaurant is decent. The food was okay but nothing special, and prices are a bit high for what you get.",restaurant review
item_11,"Devastated to hear about the layoffs at work today. Many good people lost their jobs unfairly.",social media post
item_12,"Just finished running my first marathon! Can't believe I actually did it. Best feeling ever!",social media post
item_13,"The instructions were unclear and the assembly process took much longer than expected. Very disappointed.",product review
item_14,"The library will be closed on Monday for the national holiday and will reopen Tuesday at 9am.",public notice
item_15,"This book completely changed my perspective on life. A must-read for anyone seeking personal growth.",book review
item_16,"Worst purchase I've ever made. Broke after two days and the warranty claim was denied.",product review
item_17,"The conference agenda includes keynote speeches at 10am and breakout sessions beginning at 2pm.",event notice
item_18,"Mediocre at best. I've had better coffee from a gas station. Won't be returning.",cafe review
item_19,"So proud of my daughter for graduating with honors! All her hard work paid off!",social media post
item_20,"The traffic on Highway 101 is moving slowly due to an earlier accident. Expect 20-minute delays.",traffic update
item_21,"This app is fantastic! So intuitive and has made my daily workflow so much easier.",app review
item_22,"Incredibly rude staff. They acted like I was bothering them just by being a customer.",service review
item_23,"The study found that 47% of respondents prefer option A while 53% prefer option B.",research finding
item_24,"Thank you so much for the birthday wishes! Feeling blessed to have such wonderful people in my life.",social media post
item_25,"This airline lost my luggage and offered no compensation. Never flying with them again.",travel review
