text,id
"Hi Team, I wanted to follow up on the project deadline. Could you please send me an update when you have a moment? Thank you so much for your help!",0
"Send me the report by EOD.",1
"Dear Dr. Thompson, I hope this email finds you well. I was wondering if you might have some time this week to discuss the research proposal? I would greatly appreciate any feedback you could provide. Best regards, Sarah",2
"Where's the file I asked for yesterday?",3
"Hey! Hope you're having a great day! Just a quick reminder about the meeting at 3pm. Let me know if that still works for you. Thanks!",4
"I need the budget numbers NOW. This is the third time I'm asking.",5
"Good morning, I hope you had a nice weekend. When you get a chance, could you please review the attached document? No rush at all - whenever it's convenient for you. Many thanks!",6
"Did you even read my last email? Handle this immediately.",7
"Hi Jennifer, Thank you so much for your assistance with the client presentation last week. Your insights were incredibly valuable, and I really appreciate you taking the time to help. Please let me know if there's anything I can do to return the favor!",8
"Fix the errors in your code. It broke the build again.",9
