msg_id,score,is_useful,p_tag,split,text,id
<10805789.1075843118922.JavaMail.evans@thyme>,0.16588418,1,P_1,test,"much of the hearing focused on natural gas and oil markets , but both richardson and hoecker used the meeting as a forum to blast congress for failing to pass comprehensive restructuring legislation this year .",34
<10894010.1075840690106.JavaMail.evans@thyme>,0.29265556,1,P_2,train,it started out as a problem with very low blood sugar but then escalated into a weak heart problem with very shallow breathing .,8
<24402720.1075843752999.JavaMail.evans@thyme>,0.19894534,0,P_1,val,"(BN  ) Colombia's Medellin Utility Drops Isagen Investment,",0
<13443428.1075840970328.JavaMail.evans@thyme>,0.20067184,0,P_2,train,| aug | 2.450 | 2.420,28
<25286915.1075841981995.JavaMail.evans@thyme>,0.76056933,1,P_7,train,lorraine becker will email location * ~*~*~*~*~*~*~*~*~,2
<9394500.1075840152013.JavaMail.evans@thyme>,0.21400943,0,P_2,train,wk ra : $ 46 - 13 eps 2001 $ 0.44e $ 0.44e,30
<12608370.1075848255396.JavaMail.evans@thyme>,0.28021678,0,P_2,train,"write to jason leopold at jason.leopold@dowjones.com copyright ( c ) 2001 dow jones & company ,",236
<21789212.1075844476065.JavaMail.evans@thyme>,0.39147493,0,P_3,val,"accordingly , comex division members have ten ( 10 ) days =",10
<1432929.1075840333639.JavaMail.evans@thyme>,0.84809923,1,P_8,train,"for other purposes , the currency will float .",46
<10814351.1075855562459.JavaMail.evans@thyme>,0.24299377,0,P_2,train,", christopher hargett / hou / ect@ect",9
<24728152.1075852232259.JavaMail.evans@thyme>,0.8998127,0,P_8,train,"the captain said , "" cher , i 'm sorry to tell you , but > >",29
<25289587.1075843839451.JavaMail.evans@thyme>,0.32041442,0,P_3,train,"best , jeff harry kingerski 01/07/2001",11
<29116935.1075845933720.JavaMail.evans@thyme>,0.7735611,1,P_7,train,"in the past , a company subject to nigeria net income tax may have fully satisfied its tax liability with advance taxes retained by its client .",31
<24200788.1075857554272.JavaMail.evans@thyme>,0.23246397,1,P_2,train,forwarded by george mcclellan / hou / ect on 01/03/2001,6
<14568768.1075855007422.JavaMail.evans@thyme>,0.26354435,0,P_2,train,rp00 - 490 - 000 in compliance with order no . 637 .,3
<9706574.1075843136101.JavaMail.evans@thyme>,0.39945877,1,P_3,test,re : communication within gov / reg hi,13
<93425.1075852637406.JavaMail.evans@thyme>,0.22892119,1,P_2,train,that 's why we are establishing the kapt foundation to fund pre - paid tuition scholarships for these kentucky youth .,14
<20850707.1075862020095.JavaMail.evans@thyme>,0.25837725,0,P_2,train,""" > < font size=2>warren rushed for 32 yards and a td at arizona and caught 11 passes for 64 yards and a score .",127
<33271739.1075840263789.JavaMail.evans@thyme>,0.09147638,1,P_0,train,"the pastor was , of course , talking to all of us , challenging each >",163
<11833702.1075840990099.JavaMail.evans@thyme>,0.815247,1,P_8,train,its financial web site www.smallcapcenter.com is a state of the art online research center for the investment community .,27
<15324738.1075840752810.JavaMail.evans@thyme>,0.96739966,1,P_9,test,we believe it prudent to insert a generator perspective on the cost allocation issues in this pleading to ferc on february 1 .,12
<802911.1075840357169.JavaMail.evans@thyme>,0.8330816999999999,1,P_8,val,please note for the texas region daren farmer is leaving and most likely will be replaced by chris germany .,2
<17240633.1075854119512.JavaMail.evans@thyme>,0.08051671,0,P_0,train,subject : hpl fuel gas buy - back for december 1999,4
<24736545.1075847976268.JavaMail.evans@thyme>,0.38493776,1,P_3,train,20 pennsylvania to the green - e negawatt subc .,129
<3554666.1075841232121.JavaMail.evans@thyme>,0.10231435,0,P_1,val,", dan sent : tuesday , december 11 , 2001",2
<15196536.1075845884404.JavaMail.evans@thyme>,0.2889137,0,P_2,train,today tuesday our telephone number is 44 - 207 - 783 - 0517 .,9
<5036977.1075861448682.JavaMail.evans@thyme>,0.1462966,0,P_1,train,"player news ricky watters , rb sea - free age=",43
<28849928.1075855117283.JavaMail.evans@thyme>,0.83487356,0,P_8,test,out for the rest of the seas= on .,78
<5973985.1075847073462.JavaMail.evans@thyme>,0.15014741,0,P_1,train,trey hardy enron north america corp. from : tana jones 03/14/2000 09:08 am,4
<522944.1075858976781.JavaMail.evans@thyme>,0.09663988,0,P_0,train,subject : more funny stuff ( church bulletins ),23
<25544145.1075845278253.JavaMail.evans@thyme>,0.32761386,0,P_3,test,"from : fenner , < mailto:chet_fenner@bmc.com >",21
<13394802.1075842001135.JavaMail.evans@thyme>,0.9755788,1,P_9,train,hopefully presto and lavorato will not make major changes to the layout .,17
<5702453.1075853724285.JavaMail.evans@thyme>,0.1780367,0,P_1,train,"subject : statoil jan and feb john , just got a phone call from mark feldman nad sherry in volume mngt .",14
<10149644.1075848227319.JavaMail.evans@thyme>,0.08199353,1,P_0,train,william w. hogan john f. kennedy school of government,37
<30509548.1075852635177.JavaMail.evans@thyme>,0.8796898999999999,1,P_8,train,see you tomorrow at noon at the bayou club .,2
<16519297.1075853947475.JavaMail.evans@thyme>,0.08059614,1,P_0,train,she even had someone > come in and change her hair color .,30
<10862070.1075856639148.JavaMail.evans@thyme>,0.4409791,1,P_4,train,"my colleague , > ashleybaxter , from the analyst / associate program at enron would join me > as well .",16
<20262914.1075859171733.JavaMail.evans@thyme>,0.61394817,1,P_6,test,"trade stocks for $ 7 , get free streaming quotes & charts , choose from 8000 + mutual funds with no transaction fees , open a no - fee ira and more !",46
<10206637.1075843121805.JavaMail.evans@thyme>,0.25615582,0,P_2,train,"bburns@caiso.com > , "" ' bcragg@gmssr.com '",93
<26179919.1075840494747.JavaMail.evans@thyme>,0.31045985,0,P_3,train,"310,000 dth x $ 2.47 per dth =",7
<10571757.1075840162294.JavaMail.evans@thyme>,0.34983712,0,P_3,train,12/31 price target $ 45 $ 45,229
<17617064.1075851579564.JavaMail.evans@thyme>,0.94863635,1,P_9,train,"twin towers - standing side by side , looks like the > number 11 >",10
<24544790.1075845291232.JavaMail.evans@thyme>,0.98540825,1,P_9,train,only at the meeting could we sort out wht needed to happen .,7
<12321525.1075862220851.JavaMail.evans@thyme>,0.9940157,0,P_9,train,thanks for the input .,1
<10463335.1075847132991.JavaMail.evans@thyme>,0.96594983,1,P_9,val,i think we might have a misunderstanding on the separation of roles between ecc and ena .,25
<15830525.1075863306218.JavaMail.evans@thyme>,0.2851364,0,P_2,train,3603 sw comus st phone ( 503 ) 293 - 9147 take,12
<14401714.1075852641816.JavaMail.evans@thyme>,0.9638822,1,P_9,train,an invitation to join these meetings should and shall always be extended to both groups when lng opportunities are to be discussed .,12
<24184835.1075856631466.JavaMail.evans@thyme>,0.36140117,0,P_3,train,California Power 1/19/00,0
<27262961.1075853089813.JavaMail.evans@thyme>,0.9470086,1,P_9,train,the houston center for contemporary crafts is an exciting new art venue where several artists in residence will be on hand to demonstrate and discuss their work .,14
<16503503.1075858362353.JavaMail.evans@thyme>,0.0093956919999999,0,P_0,train,subject : re : shreveport huh ? ?,10
<17522644.1075852774472.JavaMail.evans@thyme>,0.36029172,0,P_3,train,", > stuart mendelson < stuart8901@starpower.net >",17
<11864510.1075845161821.JavaMail.evans@thyme>,0.33872876,0,P_3,train,$ 31.97 cdnow price $ 28.77,17
<24473142.1075849397467.JavaMail.evans@thyme>,0.86053467,1,P_8,train,"we 're as close to bankruptcy as our creditors want us to be , "" he said .",271
<7779259.1075860451772.JavaMail.evans@thyme>,0.095204495,0,P_0,train,"edison , i= n=20 a securities and exchange commission filing thursday , said its debts outwei= gh=20 its cash reserves by $ 722 million.=20",243
<8910432.1075853227205.JavaMail.evans@thyme>,0.9184232,1,P_9,train,i am working from home now because pne needs to move marie into my office .,15
<14940888.1075858769483.JavaMail.evans@thyme>,0.25342238,1,P_2,train,amy covington 901 jolen ct bellaire 77401,8
<17208307.1075862597926.JavaMail.evans@thyme>,0.2526901,0,P_2,test,matt_doggett@dell.com > ; mike newman ( e - mail ),17
