msg_id,score,is_useful,p_tag,split,len,text,id
<11360394.1075841430025.JavaMail.evans@thyme>,0.36718613,0,P_3,val,25,"[ image]= bush with default orpheum theatre tuesday , march 12 at 7:30pm $ 37.50 ti= ckets on sale friday , february 1 at 10am",19
<16796726.1075853269228.JavaMail.evans@thyme>,0.5303569,0,P_5,train,5,"< jwallbillich@glgt.com > , <",12
<6218014.1075858665322.JavaMail.evans@thyme>,0.12117103,1,P_1,train,35,"to the extent all of our deal costs ( including a scheduling fee ) and origination margin are notably less than $ 7 , then customers will be better off under our index product .",3
<1923632.1075861143042.JavaMail.evans@thyme>,0.8578802,1,P_8,train,31,there is also a 10 % discount for one additional user and the discount escalates as more users are added in case enron 's contract ends in the near future .,5
<5445633.1075846010983.JavaMail.evans@thyme>,0.63855433,1,P_6,test,9,i asked him if you had told him anything,5
<26379437.1075845159286.JavaMail.evans@thyme>,0.21680309,0,P_2,test,5,[ image ] news :,11
<25233844.1075862601181.JavaMail.evans@thyme>,0.97749376,0,P_9,train,20,woods with 1:36 remaining to upset oklahoma and end the sooners ' hopes for = a repeat national championship .,45
<15867039.1075843216847.JavaMail.evans@thyme>,0.13048366,0,P_1,train,8,subject : re : directions damnit jeff .,4
<22386375.1075841286628.JavaMail.evans@thyme>,0.47892988,0,P_4,train,15,for he 12 - 24 you purchased 25 mw from us at $ 220 .,5
<7850196.1075847746452.JavaMail.evans@thyme>,0.57244647,1,P_5,train,8,we currently have a 20 percent deficit .,36
<1972216.1075853780948.JavaMail.evans@thyme>,0.07127949,1,P_0,val,33,those customers or their shippers are directed to adjust the customer 's consumption and/or their deliveries to coh so that their deliveries to coh are equal to the customer 's actual consumption .,11
<18764354.1075842649569.JavaMail.evans@thyme>,0.623444,0,P_6,test,5,> > for real .,95
<26291759.1075849406789.JavaMail.evans@thyme>,0.35663274,0,P_3,train,6,"and csu 's at 117 megawatts,=",611
<26119617.1075860561621.JavaMail.evans@thyme>,0.2436813,0,P_2,train,8,203 - 243 - 5681 email : mmckay@velaw.com,12
<13231588.1075859129026.JavaMail.evans@thyme>,0.31785816,0,P_3,train,5,leaf vineyards chardonnay 750 ml.</span,114
<26999757.1075862094081.JavaMail.evans@thyme>,0.27972877,0,P_2,train,11,course title : ' understanding options ' session code : 121801,2
<22630480.1075841185472.JavaMail.evans@thyme>,0.32807088,0,P_3,train,6,call them the enron conservatives .,314
<13123124.1075841604438.JavaMail.evans@thyme>,0.33939868,1,P_3,train,26,"mike carson amy , if it 's not too late , would you please give mike carson a copy of his executed document to him ?",5
<7161930.1075857352426.JavaMail.evans@thyme>,0.46278703,0,P_4,train,9,true orange fax / e - mail # 89,8
<28844911.1075843120626.JavaMail.evans@thyme>,0.11177758,1,P_1,train,42,"the board of the folsom - based nonprofit , which controls about 75 % of the state 's electricity grid , voted to give the iso staff authority to contract with generators to build new power plants to serve peak demand .",9
<29154813.1075857109843.JavaMail.evans@thyme>,0.09076924,1,P_0,train,13,""" quokka "" and "" quokka sports "" are registered trademarks , and",37
<15393425.1075862097021.JavaMail.evans@thyme>,0.4448639,1,P_4,train,13,"also , do you have any advice on phone interviews w/ ene ?",3
<7463416.1075843612862.JavaMail.evans@thyme>,0.0060529965,0,P_0,train,8,"oh , behave!=20 ? ? ? ? ?",534
<7219232.1075840912303.JavaMail.evans@thyme>,0.4954789000000001,1,P_4,train,42,"watson said dynegy is confident that it will take control of enron 's northern natural gas pipeline unit next month under a clause of the acquisition agreement that allowed it to keep the 16,500 miles of pipeline if the deal collapsed .",589
<10847857.1075842127100.JavaMail.evans@thyme>,0.9349744,1,P_9,train,39,seems like there are more situations that are coming up where our counterparties are wanted to execute 1 guaranty to cover all types of transactions and this is our attempt to develop a form that credit can use .,3
<12816297.1075845287475.JavaMail.evans@thyme>,0.37128225,1,P_3,val,10,how do people accustomed to life in the fast lane,29
<2728096.1075842413943.JavaMail.evans@thyme>,0.31991723,0,P_3,train,4,"AGL Energy Services, LLC",0
<18109055.1075846355039.JavaMail.evans@thyme>,0.88751286,1,P_8,val,16,: the success of these projects depends on the cost of construction?and price of gas .,34
<25706492.1075857357481.JavaMail.evans@thyme>,0.266918,0,P_2,train,7,"arizona ( 495.50 ) , no .",145
<12744676.1075852664568.JavaMail.evans@thyme>,0.63323885,1,P_6,train,16,there is a plain text registration form available on the web page at the following link,7
<14236307.1075843189778.JavaMail.evans@thyme>,0.99310267,1,P_9,train,22,"please suggest topical areas that you can help develop , or believe are essential to the success of this program . ?",34
<30940101.1075846292208.JavaMail.evans@thyme>,0.039868087,0,P_0,train,30,subject : government affairs off - site presentations june 2000 please find attached the presentations that were made during the government and regulatory affairs off - site in june .,32
<25416206.1075849443001.JavaMail.evans@thyme>,0.08967227,1,P_0,val,18,ages 13 - 18 are only $ 14 for general admission and children under 12 are free .,11
<27727944.1075853425464.JavaMail.evans@thyme>,0.8769680000000001,1,P_8,train,13,"find out about bring your child to work day , june 29 !",19
<17351029.1075840725512.JavaMail.evans@thyme>,0.52147007,0,P_5,train,14,call the alumni association at ( 541 ) 737 - 2351 for details .,20
<25767788.1075845557909.JavaMail.evans@thyme>,0.6184533,1,P_6,train,9,"pi tsa pricing technical support annual fee $ 88,596.25",48
<9606761.1075860078830.JavaMail.evans@thyme>,0.39842162,0,P_3,train,5,lecture/ interactive consultant time management,49
<11788564.1075863617664.JavaMail.evans@thyme>,0.06854687,0,P_0,train,44,"mary j heinitz / hou / ect@ect , julia murray / hou / ect@ect , ron w johnson@enron , elizabeth labanowski / epsc / hou / ect@ect , laurie bruce dan lyons / hou / ect@ect , michael moran / et&s / enron@enron ,",12
<20709542.1075846013306.JavaMail.evans@thyme>,0.97710264,1,P_9,train,14,can you please furnish these items as early as possible on thursday morning .,12
<15786511.1075844449139.JavaMail.evans@thyme>,0.28751612,1,P_2,val,8,forwarded by david minns / enron_development on 04/11/2000,23
<31362875.1075857553372.JavaMail.evans@thyme>,0.5062169,1,P_5,train,7,"do not open "" pretty park .",23
<14292583.1075843095602.JavaMail.evans@thyme>,0.38576204,1,P_3,train,21,ultrasound developer tomtec acquires individual software o thirdage media acquires menopaus information web site o viewlocity buys french integrator electronic data,24
<6288969.1075842009463.JavaMail.evans@thyme>,0.1434279,1,P_1,train,40,"besides , there 's going to be a specific language for what we are calling "" pre - rationing event "" , which is not fm , but may reduce ( up to 10 % ) the contract volume .",2
<16192060.1075861271133.JavaMail.evans@thyme>,0.77716225,0,P_7,train,15,we offer a 30 day money back guarantee and free= shipping on this order !,19
<18866818.1075843607279.JavaMail.evans@thyme>,0.9780814,1,P_9,train,15,you guys sure are swell and i had such a good time and thanks thanks,2
<5427947.1075852619963.JavaMail.evans@thyme>,0.2173057,1,P_2,train,8,TGIF Marketplace Meditation -- The Purpose of Crucibles,0
<24053297.1075845334598.JavaMail.evans@thyme>,0.42141834,0,P_4,train,7,o hotel and marina - $ 155.00,67
<27046635.1075846011196.JavaMail.evans@thyme>,0.11032942,0,P_1,train,5,because comair is shut down,6
<1503107.1075841562401.JavaMail.evans@thyme>,0.36001343,1,P_3,val,11,the summaries are free to professionals in the gas industry .,13
<10233467.1075857285848.JavaMail.evans@thyme>,0.9998474,0,P_9,train,20,"if you would like further assistance , we 're happy to help - please send e - mail to solutions@egreetings.com",13
<23518419.1075861134933.JavaMail.evans@thyme>,0.16403472,0,P_1,train,57,"2002 - friday evening travel may not be available in all markets - tickets must be purchased no later than this friday , march 22 , 2002 , 11:59 p.m. ( ct ) coach class travel r / t fare coach class from : to : ---- ---------------- ---------------- $ 79 amarillo , tx ( ama )",17
<23127344.1075848053713.JavaMail.evans@thyme>,0.11962173,1,P_1,train,22,"for example , deregulation law allowed the utilities to keep their 9 million customers until each took the initiative to switch .",43
<31704962.1075840978732.JavaMail.evans@thyme>,0.36039034,0,P_3,train,26,"full details of both of= these press releases can be found at : to obtain a fifteen minute delayed stock quote , please go to :",6
<15751635.1075858210849.JavaMail.evans@thyme>,0.037386492,1,P_0,train,35,"the reason for the interest in this time period is as follows : nicor gas company observed their company holiday on december 22nd , while most companies observed the company holiday on december 26th .",9
<25992009.1075840861064.JavaMail.evans@thyme>,0.58319247,1,P_5,train,10,canada still needs to test y - calc . ?,45
<25353017.1075840931753.JavaMail.evans@thyme>,0.06440436,1,P_0,test,36,"new york university law school professor marcel kahan , who specializes in securities law , said class - action lawsuits are usually lawyer - initiated , with lawyers calling shareholders rather than shareholders calling them .",353
<27561929.1075844565862.JavaMail.evans@thyme>,0.414578,0,P_4,train,5,2d message to follow -----,2
<12925524.1075856573447.JavaMail.evans@thyme>,0.97568446,1,P_9,train,33,"check out the attached sample , and if you 'd like to order an annual subscription , choose your favorite way : - hit reply and fill out the subscriber information below .",13
<18673200.1075843713112.JavaMail.evans@thyme>,0.8025791,1,P_8,test,14,"on earlier occasions , companies have tried wind power generation in tamil nadu .",220
<23258950.1075853346308.JavaMail.evans@thyme>,0.32607877,1,P_3,train,8,Southern Company Services - Elba LNG supply -,0
<10859276.1075853058233.JavaMail.evans@thyme>,0.25971308,0,P_2,train,6,ETS and Corporate Change Control Items,0
<106761.1075855189177.JavaMail.evans@thyme>,0.4289419,0,P_4,train,7,"dmashburn@ferc.fed.us > , < dmurray@ferc.fed.us > ,",13
<23021293.1075846254893.JavaMail.evans@thyme>,0.0620841,1,P_0,train,30,entergy will only include prior queued interconnection requests in subsequent studies once they have signed an interconnection agreement ( to show more intent to actually complete the project ) .,14
<28614858.1075857492870.JavaMail.evans@thyme>,0.17001568,0,P_1,train,7,subject : epng / blanco / blanco,19
<12954837.1075862000477.JavaMail.evans@thyme>,0.29765907,0,P_2,train,5,middle><a width=500 heigth=350 border=0></a></td></tr >,3
<17567769.1075843601948.JavaMail.evans@thyme>,0.3367665999999999,0,P_3,train,6,the wall street journal europe 1,44
<13494848.1075863688199.JavaMail.evans@thyme>,0.28414297,0,P_2,train,6,Re: PRC review - phone calls,0
<16656260.1075843708535.JavaMail.evans@thyme>,0.39253688,1,P_3,train,25,in 1993 the cats pipeline was completed and teeside gas started making payments even though it had no need for capacity at that time .,114
<10742953.1075844784753.JavaMail.evans@thyme>,0.06856875,1,P_0,train,20,neal wolkoff re : position adjustment deadlines for the july 2001 metal and energy contracts [ nymex rule 9.04(p ),3
<5578513.1075840540589.JavaMail.evans@thyme>,0.22684631,1,P_2,test,23,"1/9/02 all , the following are the change controls and questions for this wednesday 's , 1/9/02 , call at 10:00 am .",15
<10809982.1075857352455.JavaMail.evans@thyme>,0.5343928000000001,1,P_5,test,8,my punts do n't usually bounce forward .,153
<20385954.1075855643133.JavaMail.evans@thyme>,0.40386426,0,P_4,test,2,TDS Flag,0
<10461926.1075862270946.JavaMail.evans@thyme>,0.1859983,1,P_1,train,8,draft memo to admins how 's this ?,14
<31402060.1075843161241.JavaMail.evans@thyme>,0.72161853,0,P_7,train,8,individual com?=09?=09teamstaff merges with online business center brightlane.com?=09,363
<860025.1075845337323.JavaMail.evans@thyme>,0.33312342,0,P_3,train,6,"to : alandresessine@yahoo.com , matthewclapcott@supanet.com ,",7
<2579409.1075845947959.JavaMail.evans@thyme>,0.51912004,0,P_5,train,10,section 3.16 - -add in concept of identified sites .,26
<13778143.1075845960556.JavaMail.evans@thyme>,0.3298367,0,P_3,train,6,chriscobb@akllp.com > on 12/04/2000 01:37:49 pm,5
<7219232.1075840912303.JavaMail.evans@thyme>,0.084218495,0,P_0,train,24,"fidelity investments , stilwell financial inc. 's ( sv ) janus capital corp. , alliance capital management ( ac ) and putnam investments .",538
<7445239.1075846807472.JavaMail.evans@thyme>,0.48162726,1,P_4,train,21,"i do know the model you 're speaking of , but is n't she married to some billionaire in venezuela ?",5
<1610159.1075863017104.JavaMail.evans@thyme>,0.26464248,0,P_2,train,20,jillian 's entertainment this is just a reminder that karaoke happy hour is every friday in the groove shack @,165
<30472183.1075860441671.JavaMail.evans@thyme>,0.35171297,0,P_3,train,5,wolverton e - mail :,1
<32002138.1075843736767.JavaMail.evans@thyme>,0.6076828000000001,0,P_6,train,5,it would appear so .,7
<3057777.1075840469314.JavaMail.evans@thyme>,0.37670854,1,P_3,train,13,"so can i install the "" palm "" software for this purpose ?",9
<12750113.1075852931638.JavaMail.evans@thyme>,0.27270004,1,P_2,val,14,"unsubscribe : to be removed from the jcrew.com mailing list , please go to",4
<22077160.1075855237361.JavaMail.evans@thyme>,0.2554902,1,P_2,train,27,"i am attaching for your review two orders issued by judge stampelos yesterday , which we have not officially received but obtained from the doah website .",24
<1039869.1075854356264.JavaMail.evans@thyme>,0.22875911,0,P_2,train,8,/ ect@enron ; vance l taylor / hou,31
<28436603.1075858579334.JavaMail.evans@thyme>,0.6443871999999999,0,P_6,train,8,my future email address will be : brudy@umich.edu,4
<30789676.1075858362257.JavaMail.evans@thyme>,0.06585479,1,P_0,val,16,"re : outdated book ids robin , the book for todd richardson is technically dead .",6
<26901292.1075842502054.JavaMail.evans@thyme>,0.37215242,1,P_3,train,12,re : tw capacity options i spoke with steve stojic about this,17
<30005224.1075840696732.JavaMail.evans@thyme>,0.11676405,0,P_1,val,21,"to : "" marsha chenoweth ( e - mail)""=20 carlos ruiz / enron@enronxgate= , = 20 david v porter / pdx",3
<3080368.1075855895212.JavaMail.evans@thyme>,0.24409822,0,P_2,train,14,"sincerely , jasmine ( 713 ) 420 - 6735 < < jasmine resume.doc >",17
<10540683.1075849434718.JavaMail.evans@thyme>,0.2902462999999999,0,P_2,train,10,"it 's too= = 20 big , ( and )",146
<7415837.1075862086354.JavaMail.evans@thyme>,0.25691956,0,P_2,train,18,"plummer , who also threw two picks , is only a = reserve fantasy quarterback at best .",33
<805053.1075845038465.JavaMail.evans@thyme>,0.21875808,1,P_2,train,12,re : abbc - credit derivatives presentation - south america srs .,24
<23351056.1075857559992.JavaMail.evans@thyme>,0.2513167999999999,1,P_2,train,7,Participation in Houston Analyst Meeting People Video,0
<10253476.1075845102242.JavaMail.evans@thyme>,0.79703957,1,P_7,train,20,the indian banks are trying to induce the foreign banks to fund into a project with a repudiated ppa .,5
<22588041.1075840993716.JavaMail.evans@thyme>,0.06313301,1,P_0,train,20,that makes prescription drugs&#151;<b > even when taken exactly as prescribed</b>&#151;the fourth leading cause of death in this country .,65
<29740315.1075861325761.JavaMail.evans@thyme>,0.48384544,0,P_4,train,7,"sanders , ari tight ends 1 .",121
<32284555.1075853802489.JavaMail.evans@thyme>,0.7209384,1,P_7,train,10,i took the volumes to 0 on the following deals,3
<21201893.1075861809923.JavaMail.evans@thyme>,0.015695596,0,P_0,train,12,"to : mainzer , elliot subject : re : absolutely nothing .",6
<24036822.1075843094365.JavaMail.evans@thyme>,0.49519706,1,P_4,train,32,"internet data firm bandwidthcenter gets $ 800,000 in series a worcester , mass. -- internet data center provider bandwidthcenter said it raised $ 800,000 in a series a round of funding .",88
<9546316.1075852549928.JavaMail.evans@thyme>,0.52672005,1,P_5,train,11,"and i thumbnail myself in my left > > eyelid ,",236
<9714322.1075856589019.JavaMail.evans@thyme>,0.36140117,0,P_3,val,3,"ENRON, India Database",0
<8134385.1075843692028.JavaMail.evans@thyme>,0.08391522,1,P_0,train,33,he said a government proposal to raise electricity rates by 0.7 cent per kilowatt hour in june will cost members of his association c$ 150 million ( $ 96.8 million ) annually .,207
<24223268.1075858314842.JavaMail.evans@thyme>,0.59065497,1,P_5,val,25,"- the purpose of this exercise is to better serve the customer , the commercial business units and achieve this within our control framework .",102
<14882870.1075851526535.JavaMail.evans@thyme>,0.037484396,0,P_0,val,50,"additionally , a company which was= normally restricted to purchasing only 25 % of its average daily trading vo= lume in a given day can now purchase an amount of stock equal to 100 % of th= e average daily trading volume in its stock for the prior month .",10
<12315675.1075859989283.JavaMail.evans@thyme>,0.18723322,1,P_1,train,30,"in the report , the working group unanimously recommends new legislation that clearly and explicitly pulls over - the - counter derivatives out of the reach of the cea .",55
<159358.1075862640432.JavaMail.evans@thyme>,0.13781595,0,P_1,train,24,"as of friday evening,= there was still no word of a deal for dynegy to buy out its cross - town riv= al .",5
<2457079.1075862153730.JavaMail.evans@thyme>,0.36140117,0,P_3,train,3,ENA Trading Track,0
<5975191.1075857502042.JavaMail.evans@thyme>,0.4026905,1,P_4,train,14,forwarded by jane m tholt / hou / ect on 06/12/2000 01:53 pm ---------------------------,1
<23032920.1075840296638.JavaMail.evans@thyme>,0.020032996,0,P_0,train,26,"but now , the=20 75-year - old greenspan faces an agonizing challenge : an abrupt economic=20 slowdown that neither he nor anyone else fully understands .",13
<8823816.1075856474218.JavaMail.evans@thyme>,0.23211604,1,P_2,train,22,"so she ate a potato and went to visit her niece , pati o'furniture who lived in the town of pluri .",216
<4859121.1075861138795.JavaMail.evans@thyme>,0.6405586,1,P_6,test,24,"be sure to introduce yourself when you 're out and about , and come to our meetings the third tuesday of each month .",7
<22958636.1075841379174.JavaMail.evans@thyme>,0.44962108,1,P_4,train,8,this invoice is pre - bankruptcy filing .,2
<17306442.1075854681052.JavaMail.evans@thyme>,0.6996118,0,P_6,train,10,"- friday=01,s upcoming bids ( minimum opening bids . )",101
<13277154.1075843170537.JavaMail.evans@thyme>,0.0486185,1,P_0,train,47,"establish clear procedures by which customers who are not operationally suited to participate in the obmc but who face some level of increased environmental damage , health or safety risk upon sudden curtailment may qualify under the "" essential use "" category of customers ; and ?",7
<1040397.1075862293512.JavaMail.evans@thyme>,0.96677643,1,P_9,train,12,additional information about this year 's campaign will be coming soon .,20
<21285252.1075840382354.JavaMail.evans@thyme>,0.7845205,1,P_7,train,13,cami is doing well and we have returned home on sunday night .,7
<5896355.1075860819689.JavaMail.evans@thyme>,0.8713809000000001,1,P_8,train,11,"nancy polstein 352 park avenue south new york , ny 10010",1
<9765469.1075858672740.JavaMail.evans@thyme>,0.947335,0,P_9,train,20,"gop unveils plan to help utility by jim sanders bee capitol = bureau ( published may 24 , 2001 )",116
<28277301.1075852554954.JavaMail.evans@thyme>,0.9810668,0,P_9,train,6,i can have your cards ready,18
<10649518.1075842412129.JavaMail.evans@thyme>,0.44043055,0,P_4,test,1,GTY,0
<30853644.1075841127218.JavaMail.evans@thyme>,0.38377395,1,P_3,train,13,"obviously i do n't know enough about it , "" he added .",715
<27767266.1075854247689.JavaMail.evans@thyme>,0.17274916,1,P_1,train,15,can you verify this price for me and let me know which is correct ?,17
<6634324.1075855342795.JavaMail.evans@thyme>,0.6040704000000001,1,P_6,train,17,: men?s footwear click below to view all of the men?s footwear from the last chance 2001,248
<11459069.1075863444226.JavaMail.evans@thyme>,0.9840875,1,P_9,train,24,"vince , just wanted to summarize for you how i see the issues related to credit reserve and var models : credit reserve :",1
